1_building,2_building,3_building,4_building,5_building,6_building,7_building,bulk_consumption
7.386222317,8.716008788,0.408555869,13.48689608,2.865474079,9.339926943,73.14527432,89.536
8.221278304,8.992105468,0.667155706,15.42537099,3.420285069,11.61336559,77.49450059,90.368
8.553856594,8.81548252,0.663339149,15.23059883,3.225512905,11.41859343,77.29972843,102.24
8.755488794,9.526315958,0.929448278,16.10919031,4.10410439,12.29718491,78.17831992,91.872
11.42795909,10.41806418,0.581480981,17.96620946,5.455462471,14.57932695,77.98468488,141.28
27.30333548,12.72966807,1.656220669,28.70988593,7.585043937,29.07902846,76.62967431,115.616
58.8747793,14.85893475,2.203112447,27.42409979,7.536261557,30.13120428,74.63411932,178.912
60.77773316,14.52675218,2.068844142,32.37181185,7.51180804,31.43544633,72.99104511,137.056
43.45403888,15.15726299,3.566937782,38.55769737,9.68332252,35.29830964,77.67290257,42.143
40.01027428,16.22390236,3.706628144,34.07450226,10.19938153,30.83459645,80.77941433,90.56
61.11996164,16.09954156,2.098807587,47.60295333,8.773408544,46.79314332,79.33255034,19.07
78.78588531,16.27272738,3.051325015,58.57536765,7.839873547,62.75242924,72.83962848,4.863
89.72320052,16.53418363,3.813681494,60.96466542,8.379195825,74.11484311,72.7399197,54.592
93.75311807,17.67582846,3.651763047,60.70842164,9.227751982,80.42249879,80.76900682,131.872
92.98175485,19.51335418,4.624159362,60.21327874,10.18412468,77.63509235,80.76309054,98.624
91.53353447,19.76349487,4.577098919,55.94860394,10.91188185,68.25232023,77.50847863,163.968
87.30552811,19.35910482,4.172708861,44.03189086,10.14529684,52.07972214,75.82822984,65.12
66.73759706,18.33313592,3.379892135,24.63401978,8.717501912,33.41343099,68.94643729,89.376
35.47670145,17.8244686,4.41936803,21.21391374,8.528685467,28.55156259,69.61169618,83.424
22.54567053,13.72844055,3.346716645,17.19699805,5.269431118,12.06905229,67.41751824,99.808
9.605406503,8.376365156,2.205371952,15.13803869,3.830928747,11.45957526,65.46161795,91.008
8.961589625,8.95169275,1.835435711,14.14421808,3.677492281,11.97579127,66.1417362,90.784
8.992191326,8.821260478,1.705003438,14.48876435,3.594455407,11.61981248,67.1751579,93.216
7.733568333,8.116321278,1.005310704,14.68771964,2.750326325,9.375684854,72.85336661,94.208
8.131644759,8.612864035,0.717803413,15.16051494,2.789558556,10.03969068,74.235135,94.208
8.16087107,8.642090346,0.747029725,15.18974125,2.818784868,10.06891699,74.26436132,89.472
8.560834979,8.241046636,1.829445777,15.85105405,3.51147421,8.735804724,73.6225931,98.784
10.04337037,8.712708206,1.627859247,16.50324611,4.221344594,12.20579373,73.60388218,96.448
11.11174155,9.781079379,1.283708507,18.73450208,5.767474839,14.68270793,73.60501931,110.944
22.91140803,12.10143346,2.677817482,29.2259192,8.132795578,26.35358349,77.56538103,92.288
52.06685016,14.602167,2.56865047,28.71572129,7.787641198,31.47643799,73.54423521,80.8
54.22018865,13.88400219,2.22120632,33.65146588,7.442686241,32.4601786,71.58065955,35.232
72.8805404,14.6984223,1.7733156,53.9850005,7.128940336,56.70164804,73.20287488,14.591
84.22447625,13.81644924,0.604550602,59.24749908,5.797308992,71.7738097,76.62804041,4.16
87.44079419,14.56659224,1.3546936,61.68792575,6.505504851,80.31281614,75.91200151,19.936
92.24662425,17.43004861,3.544913335,66.54159808,8.895380742,83.23223669,75.72352524,20.48
90.47144079,15.37711884,1.491983564,62.16878856,7.009666065,82.27016993,80.47655182,27.776
91.88505094,16.57719503,2.625389481,62.37957847,8.194858957,85.57079358,78.89065232,53.664
91.93855984,19.48892284,4.438835717,63.66187841,11.59076672,79.48777496,79.52016827,78.912
90.20998962,19.48551185,4.371375755,55.96209108,10.70615869,69.61097494,77.30275547,119.616
85.98198325,19.08112179,3.966985697,44.045378,9.939573676,51.2964528,75.62250667,60.192
63.88741355,17.98848262,3.174168971,24.64750692,8.511778748,33.20770782,68.74071413,101.376
35.8979855,16.96157517,4.077110807,20.91787388,8.013435299,28.03631243,69.09644602,102.08
22.51164859,13.41431372,3.336036502,17.23253527,5.085758031,11.8853792,67.23384515,103.424
9.499854894,8.537358837,1.950164185,15.66821912,3.679849328,11.47692337,67.12134899,95.84
8.98288851,9.112686431,1.580227944,14.67439851,3.526412862,11.99313937,67.80146725,91.456
8.98288851,9.112686431,1.580227944,14.67439851,3.526412862,11.99313937,67.80146725,89.216
